,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
212,102.6,170,-4.02,98.6,237,67.8,79,CAA,-.060,308,+4.35,62,101.7,119,104.4,119,212,+2.65,118,,UNC Wilmington,9-22
213,98.3,90,-4.07,94.2,292,64.5,236,AE,+.122,4,-1.76,209,105.2,271,99.2,280,213,-6.05,277,,Maine,19-11
214,103.6,189,-4.12,99.5,223,65.2,213,MAAC,-.033,259,-7.06,314,102.2,146,99.5,273,214,-2.77,223,,Loyola MD,13-17
215,105.4,228,-4.25,101.1,193,66.8,126,CAA,+.001,171,-8.22,334,103.0,175,101.9,192,215,-1.14,183,,James Madison,13-20
216,106.1,241,-4.29,101.8,186,62.9,289,Horz,+.060,44,-2.32,225,102.7,165,104.0,133,216,+1.26,142,,Loyola Chicago,14-16
217,103.7,198,-4.31,99.4,225,65.8,181,SB,-.065,314,-0.02,147,105.8,297,101.0,225,217,-4.79,253,,Louisiana Lafayette,13-17
218,100.5,123,-5.01,95.5,284,67.9,75,BSth,+.066,40,+5.83,47,106.6,326,97.7,309,218,-8.90,315,,Radford,19-12
219,110.6,309,-5.15,105.5,137,66.9,124,Sum,-.048,295,+2.69,89,105.2,268,100.3,251,219,-4.98,256,,South Dakota St.,14-16
220,103.1,177,-5.31,97.8,253,65.4,200,MVC,-.057,303,-8.66,338,102.3,150,104.8,99,220,+2.54,122,,Evansville,9-21
221,104.5,214,-5.42,99.1,228,66.2,163,BSky,+.087,17,+2.70,88,104.0,216,103.5,148,221,-0.57,172,,Northern Arizona,14-14
222,100.1,117,-5.45,94.6,291,62.0,309,MAC,+.052,53,-4.22,269,103.6,194,100.8,232,222,-2.85,227,,Ball St.,15-15
223,103.4,182,-5.57,97.8,251,70.7,18,BW,-.017,224,+0.97,130,103.8,205,102.3,180,223,-1.54,192,,Cal St. Northridge,11-21
224,100.7,126,-5.58,95.1,287,65.4,201,CUSA,-.070,322,-2.88,242,101.9,132,103.5,145,224,+1.61,140,,Tulane,8-22
225,96.3,65,-5.63,90.7,320,64.0,259,BSth,+.049,59,+6.90,33,106.0,309,98.6,290,225,-7.35,297,16,Winthrop,19-14
226,106.7,251,-5.77,101.0,197,66.4,148,BW,-.004,180,-1.89,212,103.0,176,100.3,248,226,-2.74,220,,UC Davis,14-18
227,105.6,232,-6.20,99.4,224,67.1,114,Horz,-.078,330,-1.88,211,101.9,128,103.5,146,227,+1.68,138,,Youngstown St.,8-22
228,100.4,121,-6.21,94.1,293,66.7,130,MEAC,-.110,344,-3.02,249,106.9,334,97.3,312,228,-9.65,322,,Hampton,14-18
229,104.8,218,-6.32,98.5,238,74.9,3,Slnd,+.027,97,+1.54,114,104.3,231,100.8,231,229,-3.53,236,,Texas St.,15-16
230,104.5,213,-6.38,98.2,242,60.9,328,BW,-.039,276,-0.71,163,103.6,192,101.1,221,230,-2.46,213,,UC Riverside,12-17
231,99.5,107,-6.44,93.1,303,65.1,215,SWAC,+.053,50,+17.98,1,104.0,213,96.4,324,231,-7.62,300,16,Arkansas Pine Bluff,18-16
232,108.4,280,-6.53,101.9,184,66.9,123,CUSA,-.016,223,+6.66,37,99.6,58,104.6,112,232,+5.04,79,,East Carolina,10-21
233,108.0,275,-6.78,101.3,192,64.0,260,WAC,-.053,301,-7.14,318,104.7,248,104.7,109,233,+0.03,160,,Hawaii,10-20
234,104.8,220,-6.86,98.0,248,67.5,90,SC,-.046,291,-7.87,328,104.9,253,99.5,270,234,-5.36,266,,Furman,13-17
235,109.4,294,-7.21,102.2,181,65.0,219,Pat,-.143,347,+0.12,144,105.6,287,100.5,243,235,-5.09,258,,Holy Cross,9-22
236,104.2,205,-7.33,96.9,263,65.8,183,Sum,+.040,78,-2.34,226,106.5,322,100.3,249,236,-6.15,279,,IPFW,16-15
237,106.4,247,-7.38,99.0,231,69.2,40,MAC,-.042,280,-1.91,213,102.6,161,100.9,229,237,-1.78,197,,Northern Illinois,10-20
238,103.6,191,-7.41,96.2,275,65.9,180,WCC,+.015,124,-0.94,174,102.8,169,103.4,152,238,+0.63,157,,Santa Clara,11-21
239,104.9,222,-7.50,97.4,255,70.1,26,MWC,+.004,157,-4.43,278,101.6,113,104.2,124,239,+2.66,116,,Wyoming,10-21
240,111.8,328,-7.69,104.1,150,66.6,133,Pat,+.073,30,-11.24,345,107.4,342,96.9,320,240,-10.55,330,,Lafayette,19-13
241,103.6,193,-7.73,95.9,282,70.9,16,Slnd,+.011,135,-13.85,347,106.9,333,99.0,282,241,-7.88,309,,UT Arlington,16-14
242,104.3,207,-7.74,96.6,269,67.3,103,Sum,-.051,299,+1.53,115,105.1,260,100.5,244,242,-4.63,251,,North Dakota St.,11-18
243,111.0,315,-7.76,103.2,167,66.4,145,BW,+.048,63,-1.00,180,104.4,238,102.0,188,243,-2.41,211,,Cal Poly,12-19
244,110.5,304,-7.91,102.5,175,67.8,78,CAA,+.010,140,-2.93,244,101.8,123,101.7,198,244,-0.11,163,,Towson,10-21
245,104.5,215,-7.94,96.6,268,67.3,104,Horz,-.029,250,+1.52,116,101.6,114,104.2,125,245,+2.66,117,,Illinois Chicago,8-22
246,105.9,239,-7.96,98.0,249,63.8,265,Pat,-.018,230,-4.96,284,107.3,341,99.4,274,246,-7.86,308,,Bucknell,14-17
247,106.8,252,-8.11,98.6,235,72.9,6,GWC,+.109,10,+0.00,146,107.9,344,95.3,336,247,-12.57,342,,South Dakota,22-10
248,105.1,225,-8.19,96.9,261,68.9,49,SC,+.033,89,-2.66,231,105.3,276,101.7,202,248,-3.67,238,,Chattanooga,15-18
249,104.4,210,-8.48,95.9,281,65.7,184,CUSA,-.081,334,-5.99,304,102.8,170,103.0,166,249,+0.15,158,,Rice,8-23
250,109.0,288,-8.50,100.5,203,56.2,347,SC,-.077,328,+6.84,35,103.1,178,102.4,179,250,-0.73,177,,Samford,11-20
251,104.7,217,-8.52,96.2,276,64.7,226,SB,+.117,6,-2.15,222,105.2,270,101.1,223,251,-4.19,244,,South Alabama,17-15
252,109.6,297,-8.52,101.1,195,63.4,275,BW,+.016,123,-5.84,301,105.9,304,101.4,209,252,-4.43,249,,UC Irvine,14-18
253,104.8,219,-8.61,96.2,277,66.6,132,SC,-.030,252,+9.81,8,101.9,129,103.1,164,253,+1.18,144,,UNC Greensboro,8-23
254,105.5,229,-8.64,96.8,265,57.3,346,MWC,-.046,292,-7.67,324,101.1,102,103.7,143,254,+2.52,124,,Air Force,10-21
255,106.2,243,-8.88,97.4,256,68.0,72,MEAC,+.029,93,-1.77,210,106.6,325,96.9,319,255,-9.71,324,,South Carolina St.,18-14
256,113.8,340,-9.08,104.7,146,66.6,137,OVC,+.098,12,+3.21,81,104.4,234,101.9,191,256,-2.48,214,,Tennessee Tech,15-17
257,108.8,287,-9.30,99.5,222,63.9,264,CAA,+.035,84,+1.77,111,100.9,97,103.9,138,257,+2.99,112,,Delaware,7-24
258,107.2,263,-9.44,97.8,252,67.1,108,OVC,-.009,196,+4.70,55,103.6,190,102.7,171,258,-0.91,180,,Tennessee St.,9-23
259,99.0,99,-9.68,89.3,330,62.8,291,Pat,-.018,231,-9.28,343,107.9,343,98.9,286,259,-9.01,316,,Army,14-15
260,101.3,143,-9.76,91.5,316,64.5,239,AE,+.004,160,-3.25,253,104.6,247,98.7,289,260,-5.94,276,,New Hampshire,13-17
261,106.3,245,-10.06,96.2,274,66.9,122,SC,-.022,237,+2.18,101,103.5,188,102.3,181,261,-1.23,185,,Elon,9-23
